Artist;Album;AlbumId;Track;Date#IndoCurry
"Shaan/ Kailash Kher/ Jatin-Lalit/ Prasoon Joshi";"Fanaa";"";"Chand Sifarish";"1753380090000"
"Kumar Sanu & Alka Yagnik";"Dilwale (Original Motion Picture Soundtrack)";"";"Saaton Janam Main Tere - EnVy";"1753380523000"
"Taylor Swift";"reputation";"01bbea6d-d67b-4aba-a7e8-1b2fd3ffe310";"...Ready for It?";"1753380637000"
"The Weeknd";"Blinding Lights";"25167e55-be78-44d1-8aeb-db27a07175f3";"Blinding Lights";"1753381043000"
"Colter Wall";"Imaginary Appalachia";"19726f2c-2ac7-4384-9f5d-6e8ce20b717f";"The Devil Wears a Suit and Tie";"1753381359000"
"Kumar Sanu, Alka Yagnik";"Kurukshetra (Original Motion Picture Soundtrack)";"";"Aap Ka Aana Dil Dhadkana";"1753381584000"
"Ram Sampath; Keerthi Sagathia";"Delhi Belly (Original Motion Picture Soundtrack)";"";"Switty Tera Pyaar Chaida";"1753381755000"
"Adele";"Skyfall";"04793a87-6013-4fa6-82e3-e79f6b66ec10";"Skyfall";"1753382041000"
"Anuradha Paudwal";"Dil Hai Ke Manta Nahin (Original Motion Picture Soundtrack)";"";"Dil Hai Ki Manta Nahin (Female Version) -  EnVy";"1753382410000"
"Megan Thee Stallion; Yuki Chiba";"MEGAN";"1c5dd63a-581e-4bbe-bb93-00adff2abb79";"Mamushi (feat. Yuki Chiba)";"1753382567000"
"Sadhana Sargam";"Vishwatma (Original Motion Picture Soundtrack)";"";"Saat Samundar Paar, Pt. 1";"1753382895000"
"LUM!X/ KSHMR/ Gabry Ponte/ Karra";"Scare Me (feat. Karra)";"";"Scare Me (feat. Karra)";"1753383029000"
"Armin Van Buuren; BLR";"Bach to the Future";"";"Bach To The Future";"1753391177000"
"Mustafa Zahid";"Awarapan (Original Soundtrack)";"";"Toh Phir Aao";"1753391386000"
"Morgan Wallen, Post Malone";"F-1 Trillion: Long Bed";"";"I Had Some Help";"1753391761000"
"Alexandra Stan";"";"";"Mr. Saxobeat (Radio Edit)";"1753440669000"
"Queen";"";"";"We Will Rock You";"1753441084000"
"Aerosmith";"Aerosmith";"1ed345f1-cc97-46a0-b6a0-6fa4de5b3067";"Dream On";"1753441205000"
"Lalu Bihari";"";"";"A Raja Ho";"1753517004000"
"Abhishek Shukla";"";"";"Dabdaba";"1753517005000"
"Deepak Deewana";"";"";"Yad Jab Aayegi Sanam Tu Gali Khayegi";"1753517006000"
"Akshara Singh";"";"";"Up Bihar Lootane";"1753517007000"
